chr1	start1	end1	chr2	start2	end2	posterior_probability	log2_fc
chr9	130624341.0	130624862.0	chr9	130829599.0	130829600.0	0.7668121542624562	0.009834970347583294
chr9	100723075.0	100723327.0	chr9	101558820.0	101558821.0	0.7605083994827015	0.009849541820585728
chr9	135879214.0	135879689.0	chr9	135804341.0	135804342.0	0.7594021172753592	0.011691032908856869
chr9	130624341.0	130624862.0	chr9	130713000.0	130713001.0	0.7565484705505762	0.010464390739798546
chr9	130624341.0	130624862.0	chr9	136203234.0	136203235.0	0.7118316468615726	0.01081135030835867
chr9	135879214.0	135879689.0	chr9	135545422.0	135545423.0	0.7081347103153013	0.014254064299166203
chr9	130624341.0	130624862.0	chr9	131133598.0	131133599.0	0.7077684158024018	0.013074063695967197
chr9	135879214.0	135879689.0	chr9	135282208.0	135282209.0	0.7011203771946874	0.019776951521635056
chr9	135879214.0	135879689.0	chr9	136214971.0	136214972.0	0.6896687325803794	0.015790022909641266
chr9	130624341.0	130624862.0	chr9	136214971.0	136214972.0	0.6804136344681042	0.015429944731295109
chr8	23366136.0	23366564.0	chr8	23145421.0	23145422.0	0.6421245459758695	0.018229492008686066
chr9	130624341.0	130624862.0	chr9	130341649.0	130341650.0	0.5605497705256505	0.020169692113995552
chr9	100723075.0	100723327.0	chr9	100395856.0	100395857.0	0.5413653306682171	0.032388169318437576
chr9	130624341.0	130624862.0	chr9	131217466.0	131217467.0	0.5081020273792647	0.021647823974490166
chr9	100723075.0	100723327.0	chr9	100881479.0	100881480.0	0.5036629601722389	0.026665098965168
chr9	130624341.0	130624862.0	chr9	130565137.0	130565138.0	0.49958287572655335	0.0285501629114151
chr9	135879214.0	135879689.0	chr9	136325087.0	136325088.0	0.4889776235978527	0.022423338145017624
chr9	130624341.0	130624862.0	chr9	130497572.0	130497573.0	0.48389031824825934	0.029105838388204575
chr9	135879214.0	135879689.0	chr9	136243238.0	136243239.0	0.480215254611969	0.026005346328020096
chr9	135879214.0	135879689.0	chr9	135753414.0	135753415.0	0.4528420962093055	0.03308487683534622
chr9	130624341.0	130624862.0	chr9	131102925.0	131102926.0	0.40621855826052033	0.029261624440550804
chr9	130624341.0	130624862.0	chr9	130159417.0	130159418.0	0.39221070141509784	0.08276895433664322
chr8	23366136.0	23366564.0	chr8	22502408.0	22502409.0	0.3787004054397217	0.08437975496053696
chr9	130624341.0	130624862.0	chr9	130548328.0	130548329.0	0.357360509876014	0.04809514805674553
chr9	130624341.0	130624862.0	chr9	135906062.0	135906063.0	0.35459168521995943	0.043440449982881546
chr9	130624341.0	130624862.0	chr9	134955252.0	134955253.0	0.303160799376477	0.035047225654125214
chr9	100723075.0	100723327.0	chr9	101569981.0	101569982.0	0.27822359117516365	0.2144560068845749
chr9	130624341.0	130624862.0	chr9	131419065.0	131419066.0	0.2599171772026647	0.06389731913805008
chr9	130624341.0	130624862.0	chr9	131085020.0	131085021.0	0.2511356664541222	0.06818477809429169
chr9	130624341.0	130624862.0	chr9	130922539.0	130922540.0	0.20581082333023365	0.027393421158194542
chr9	130624341.0	130624862.0	chr9	135545422.0	135545423.0	0.18505317485291	0.044658761471509933
chr9	130624341.0	130624862.0	chr9	135230371.0	135230372.0	0.1736552525502548	0.042415548115968704
chr9	130624341.0	130624862.0	chr9	136223360.0	136223361.0	0.14929338913280615	0.08173631131649017
chr9	130624341.0	130624862.0	chr9	131445934.0	131445935.0	0.12402824812613335	0.04926299676299095
chr8	23366136.0	23366564.0	chr8	22462145.0	22462146.0	0.09867019109599955	0.05134193226695061
chr9	130624341.0	130624862.0	chr9	131037658.0	131037659.0	0.024705162589851164	0.07886656373739243
chr9	130624341.0	130624862.0	chr9	136223428.0	136223429.0	0.0022642725989994524	0.15038436651229858
